f/MHz,2*I_0 / A,Steckerspule
115.1,1.042,hohe frequenz
110,0.982,hohe frequenz
105,0.939,hohe frequenz
99.9,0.875,hohe frequenz
95,0.829,hohe frequenz
90,0.772,hohe frequenz
85.2,0.753,hohe frequenz
80.3,0.704,hohe frequenz
75,0.653,hohe frequenz
70.2,0.627,mittlere frequenz
64.9,0.588,mittlere frequenz
60.2,0.534,mittlere frequenz
55,0.485,mittlere frequenz
49.7,0.443,mittlere frequenz
45.1,0.404,mittlere frequenz
39.9,0.353,mittlere frequenz
35,0.307,mittlere frequenz
30,0.256,niedrige frequenz
25,0.211,niedrige frequenz
20,0.192,niedrige frequenz
15,0.137,niedrige frequenz
